Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Como,2,2025-08-30,Bologna,A,L,1,0,0,0.0,0.0,3.0
Como,3,2025-09-15,Genoa,H,D,1,1,1,3.0,-2.0,1.0
Como,4,2025-09-21,Fiorentina,A,W,1,2,3,3.0,0.0,1.0
Como,5,2025-10-04,Atalanta,A,D,1,1,1,3.0,-2.0,-1.0
Como,6,2025-10-19,Juventus,H,W,2,0,3,0.0,3.0,2.0
Como,7,2025-10-25,Parma,A,D,0,0,1,3.0,-2.0,0.0
Como,8,2025-10-29,Verona,H,W,3,1,3,3.0,0.0,0.0
Como,9,2025-11-01,Napoli,A,D,0,0,1,0.0,1.0,1.0
Como,10,2025-11-08,Cagliari,H,D,0,0,1,3.0,-2.0,-1.0
Fiorentina,1,2025-08-24,Cagliari,A,D,1,1,1,3.0,-2.0,-2.0
Fiorentina,2,2025-08-31,Torino,A,D,0,0,1,3.0,-2.0,-4.0
Fiorentina,3,2025-09-13,Napoli,H,L,1,3,0,0.0,0.0,-4.0
Fiorentina,4,2025-09-21,Como,H,L,1,2,0,0.0,0.0,-4.0
Fiorentina,5,2025-10-05,Roma,H,L,1,2,0,3.0,-3.0,-7.0
Fiorentina,6,2025-10-19,Milan,A,L,2,1,0,1.0,-1.0,-8.0
Fiorentina,7,2025-10-26,Bologna,H,D,2,2,1,3.0,-2.0,-10.0
Fiorentina,8,2025-10-29,Inter,A,L,3,0,0,0.0,0.0,-10.0
Fiorentina,9,2025-11-02,Lecce,H,L,0,1,0,3.0,-3.0,-13.0
Fiorentina,10,2025-11-09,Genoa,A,D,2,2,1,3.0,-2.0,-15.0
Genoa,1,2025-08-23,Lecce,H,D,0,0,1,3.0,-2.0,-2.0
Genoa,2,2025-08-31,Juventus,H,L,0,1,0,0.0,0.0,-2.0
Genoa,3,2025-09-15,Como,A,D,1,1,1,0.0,1.0,-1.0
Genoa,4,2025-09-20,Bologna,A,L,2,1,0,3.0,-3.0,-4.0
Genoa,5,2025-09-29,Lazio,H,L,0,3,0,0.0,0.0,-4.0
Genoa,6,2025-10-05,Napoli,A,L,2,1,0,1.0,-1.0,-5.0
Genoa,7,2025-10-19,Parma,H,D,0,0,1,3.0,-2.0,-7.0
Genoa,8,2025-10-26,Torino,A,L,2,1,0,1.0,-1.0,-8.0
Genoa,9,2025-11-09,Fiorentina,H,D,2,2,1,0.0,1.0,-7.0
Inter,1,2025-08-25,Torino,H,W,5,0,3,3.0,0.0,0.0
Inter,2,2025-08-31,Udinese,H,L,1,2,0,3.0,-3.0,-3.0
Inter,3,2025-09-13,Juventus,A,L,4,3,0,0.0,0.0,-3.0
Inter,4,2025-09-27,Cagliari,A,W,0,2,3,3.0,0.0,-3.0
Inter,5,2025-10-18,Roma,A,W,0,1,3,3.0,0.0,-3.0
Inter,6,2025-10-25,Napoli,A,L,3,1,0,1.0,-1.0,-4.0
Inter,7,2025-10-29,Fiorentina,H,W,3,0,3,3.0,0.0,-4.0
Inter,8,2025-11-02,Verona,A,W,1,2,3,3.0,0.0,-4.0
Inter,9,2025-11-09,Lazio,H,W,2,0,3,1.0,2.0,-2.0
Juventus,1,2025-08-24,Parma,H,W,2,0,3,1.0,2.0,2.0
Juventus,2,2025-08-31,Genoa,A,W,0,1,3,3.0,0.0,2.0
Juventus,3,2025-09-13,Inter,H,W,4,3,3,3.0,0.0,2.0
Juventus,4,2025-09-20,Verona,A,D,1,1,1,3.0,-2.0,0.0
Juventus,5,2025-09-27,Atalanta,H,D,1,1,1,0.0,1.0,1.0
Juventus,6,2025-10-05,Milan,H,D,0,0,1,3.0,-2.0,-1.0
Juventus,7,2025-10-19,Como,A,L,2,0,0,3.0,-3.0,-4.0
Juventus,8,2025-10-26,Lazio,A,L,1,0,0,1.0,-1.0,-5.0
Juventus,9,2025-10-29,Udinese,H,W,3,1,3,3.0,0.0,-5.0
Juventus,10,2025-11-08,Torino,H,D,0,0,1,3.0,-2.0,-7.0
Lazio,1,2025-08-24,Como,A,L,2,0,0,3.0,-3.0,-3.0
Lazio,2,2025-08-31,Verona,H,W,4,0,3,3.0,0.0,-3.0
Lazio,3,2025-09-21,Roma,H,L,0,1,0,1.0,-1.0,-4.0
Lazio,4,2025-09-29,Genoa,A,W,0,3,3,3.0,0.0,-4.0
Lazio,5,2025-10-04,Torino,H,D,3,3,1,1.0,0.0,-4.0
Lazio,6,2025-10-19,Atalanta,A,D,0,0,1,3.0,-2.0,-6.0
Lazio,7,2025-10-26,Juventus,H,W,1,0,3,1.0,2.0,-4.0
Lazio,8,2025-11-03,Cagliari,H,W,2,0,3,3.0,0.0,-4.0
Lazio,9,2025-11-09,Inter,A,L,2,0,0,1.0,-1.0,-5.0
Lecce,1,2025-08-23,Genoa,A,D,0,0,1,0.0,1.0,1.0
Lecce,2,2025-08-29,Milan,H,L,0,2,0,0.0,0.0,1.0
Lecce,3,2025-09-14,Atalanta,A,L,4,1,0,1.0,-1.0,0.0
Lecce,4,2025-09-19,Cagliari,H,L,1,2,0,3.0,-3.0,-3.0
Lecce,5,2025-09-28,Bologna,H,D,2,2,1,1.0,0.0,-3.0
Lecce,6,2025-10-04,Parma,A,W,0,1,3,3.0,0.0,-3.0
Lecce,7,2025-10-25,Udinese,A,L,3,2,0,0.0,0.0,-3.0
Lecce,8,2025-10-28,Napoli,H,L,0,1,0,0.0,0.0,-3.0
Lecce,9,2025-11-02,Fiorentina,A,W,0,1,3,0.0,3.0,0.0
Lecce,10,2025-11-08,Verona,H,D,0,0,1,3.0,-2.0,-2.0
Milan,1,2025-08-29,Lecce,A,W,0,2,3,3.0,0.0,0.0
Milan,2,2025-09-14,Bologna,H,W,1,0,3,3.0,0.0,0.0
Milan,3,2025-09-20,Udinese,A,W,0,3,3,3.0,0.0,0.0
Milan,4,2025-09-28,Napoli,H,W,2,1,3,0.0,3.0,3.0
Milan,5,2025-10-05,Juventus,A,D,0,0,1,0.0,1.0,4.0
Milan,6,2025-10-19,Fiorentina,H,W,2,1,3,1.0,2.0,6.0
Milan,7,2025-10-28,Atalanta,A,D,1,1,1,0.0,1.0,7.0
Milan,8,2025-11-02,Roma,H,W,1,0,3,1.0,2.0,9.0
