Rank,Team,Elo,Matches
1,Inter,1785.23,203
2,Napoli,1730.08,203
3,Milan,1700.05,203
4,Roma,1687.38,203
5,Juventus,1671.07,203
6,Atalanta,1645.59,203
7,Bologna,1629.79,203
8,Lazio,1614.39,203
9,Como,1607.6,51
10,Fiorentina,1545.69,203
11,Torino,1501.8,203
12,Pisa,1476.09,13
13,Udinese,1463.07,203
14,Genoa,1457.75,165
15,Cremonese,1446.66,51
16,Sassuolo,1439.51,165
17,Cagliari,1418.71,165
18,Lecce,1415.07,127
19,Parma,1383.44,89
20,Verona,1378.51,203
