player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Ermedin Demirovic,Augsburg,15,9,24,48.0,30.0,18.0,33,2324
Harry Kane,Bayern Munich,36,8,44,46.8,38.3,8.5,32,2324
Jonas Wind,Wolfsburg,11,7,18,43.9,26.8,17.1,34,2324
Marvin Ducksch,Werder Bremen,12,9,21,43.8,25.0,18.8,33,2324
Loïs Openda,RasenBallsport Leipzig,24,7,31,40.3,31.2,9.1,34,2324
Jan-Niklas Beste,FC Heidenheim,8,12,20,40.0,16.0,24.0,31,2324
Serhou Guirassy,VfB Stuttgart,28,3,31,39.7,35.9,3.8,28,2324
Kevin Stöger,Bochum,7,9,16,38.1,16.7,21.4,32,2324
Deniz Undav,VfB Stuttgart,18,10,28,35.9,23.1,12.8,30,2324
Vincenzo Grifo,Freiburg,8,8,16,35.6,17.8,17.8,32,2324
Omar Marmoush,Eintracht Frankfurt,12,6,18,35.3,23.5,11.8,29,2324
Florian Kainz,FC Cologne,5,4,9,32.1,17.9,14.3,33,2324
Andrej Kramaric,Hoffenheim,15,6,21,31.8,22.7,9.1,30,2324
Tim Kleindienst,FC Heidenheim,12,3,15,30.0,24.0,6.0,33,2324
Eren Sami Dinkci,FC Heidenheim,10,4,14,28.0,20.0,8.0,33,2324
Robin Gosens,Union Berlin,6,3,9,27.3,18.2,9.1,30,2324
Tim Skarke,Darmstadt,8,0,8,26.7,26.7,0.0,30,2324
Julian Brandt,Borussia Dortmund,7,11,18,26.5,10.3,16.2,32,2324
Maximilian Beier,Hoffenheim,16,1,17,25.8,24.2,1.5,33,2324
Álex Grimaldo,Bayer Leverkusen,10,13,23,25.8,11.2,14.6,33,2324
Jonathan Burkardt,Mainz 05,8,2,10,25.6,20.5,5.1,21,2324
Victor Boniface,Bayer Leverkusen,14,8,22,24.7,15.7,9.0,23,2324
Florian Wirtz,Bayer Leverkusen,11,11,22,24.7,12.4,12.4,32,2324
Xavi Simons,RasenBallsport Leipzig,8,11,19,24.7,10.4,14.3,32,2324
Michael Gregoritsch,Freiburg,7,4,11,24.4,15.6,8.9,32,2324
Lovro Majer,Wolfsburg,5,5,10,24.4,12.2,12.2,32,2324
Phillip Tietz,Augsburg,8,4,12,24.0,16.0,8.0,34,2324
Jae-Sung Lee,Mainz 05,6,3,9,23.1,15.4,7.7,29,2324
Robin Hack,Borussia M.Gladbach,10,2,12,21.4,17.9,3.6,29,2324
Davie Selke,FC Cologne,6,0,6,21.4,21.4,0.0,19,2324
Franck Honorat,Borussia M.Gladbach,3,9,12,21.4,5.4,16.1,32,2324
Kevin Volland,Union Berlin,3,4,7,21.2,9.1,12.1,26,2324
Benjamin Sesko,RasenBallsport Leipzig,14,2,16,20.8,18.2,2.6,31,2324
Romano Schmid,Werder Bremen,4,6,10,20.8,8.3,12.5,33,2324
Mitchell Weiser,Werder Bremen,3,7,10,20.8,6.2,14.6,30,2324
Donyell Malen,Borussia Dortmund,13,1,14,20.6,19.1,1.5,27,2324
Leroy Sané,Bayern Munich,8,11,19,20.2,8.5,11.7,27,2324
Lucas Höler,Freiburg,7,2,9,20.0,15.6,4.4,33,2324
Ritsu Doan,Freiburg,7,2,9,20.0,15.6,4.4,30,2324
Alassane Pléa,Borussia M.Gladbach,7,4,11,19.6,12.5,7.1,27,2324
Chris Führich,VfB Stuttgart,8,7,15,19.2,10.3,9.0,34,2324
Ihlas Bebou,Hoffenheim,7,5,12,18.2,10.6,7.6,32,2324
Jeremie Frimpong,Bayer Leverkusen,9,7,16,18.0,10.1,7.9,31,2324
Brajan Gruda,Mainz 05,4,3,7,17.9,10.3,7.7,28,2324
Ansgar Knauff,Eintracht Frankfurt,7,2,9,17.6,13.7,3.9,31,2324
Marco Reus,Borussia Dortmund,6,6,12,17.6,8.8,8.8,26,2324
Takuma Asano,Bochum,6,1,7,16.7,14.3,2.4,29,2324
Justin Njinmah,Werder Bremen,6,2,8,16.7,12.5,4.2,24,2324
Oscar Vilhelmsson,Darmstadt,4,1,5,16.7,13.3,3.3,26,2324
Tobias Kempe,Darmstadt,3,2,5,16.7,10.0,6.7,24,2324
Marvin Mehlem,Darmstadt,3,2,5,16.7,10.0,6.7,20,2324
Rocco Reitz,Borussia M.Gladbach,6,3,9,16.1,10.7,5.4,34,2324
Jamal Musiala,Bayern Munich,10,5,15,16.0,10.6,5.3,24,2324
Ruben Vargas,Augsburg,4,4,8,16.0,8.0,8.0,31,2324
Eric Junior Dina Ebimbe,Eintracht Frankfurt,5,3,8,15.7,9.8,5.9,31,2324
Wout Weghorst,Hoffenheim,7,3,10,15.2,10.6,4.5,28,2324
Benedict Hollerbach,Union Berlin,5,0,5,15.2,15.2,0.0,28,2324
Yorbe Vertessen,Union Berlin,3,2,5,15.2,9.1,6.1,13,2324
Thomas Müller,Bayern Munich,5,9,14,14.9,5.3,9.6,31,2324
Keven Schlotterbeck,Bochum,5,1,6,14.3,11.9,2.4,27,2324
Faride Alidou,FC Cologne,4,0,4,14.3,14.3,0.0,26,2324
Philipp Hofmann,Bochum,4,2,6,14.3,9.5,4.8,29,2324
Linton Maina,FC Cologne,1,3,4,14.3,3.6,10.7,31,2324
Fredrik Jensen,Augsburg,2,5,7,14.0,4.0,10.0,22,2324
Leon Goretzka,Bayern Munich,6,7,13,13.8,6.4,7.4,30,2324
Grischa Prömel,Hoffenheim,4,5,9,13.6,6.1,7.6,28,2324
Jonas Hofmann,Bayer Leverkusen,5,7,12,13.5,5.6,7.9,32,2324
Christoph Klarer,Darmstadt,2,2,4,13.3,6.7,6.7,30,2324
Luca Pfeiffer,Darmstadt,1,3,4,13.3,3.3,10.0,24,2324
David Raum,RasenBallsport Leipzig,2,8,10,13.0,2.6,10.4,31,2324
Mathys Tel,Bayern Munich,7,5,12,12.8,7.4,5.3,30,2324
Leandro Barreiro Martins,Mainz 05,4,1,5,12.8,10.3,2.6,31,2324
Anthony Caci,Mainz 05,2,3,5,12.8,5.1,7.7,31,2324
Nathan N'Goumou Minpol,Borussia M.Gladbach,5,2,7,12.5,8.9,3.6,32,2324
Maxence Lacroix,Wolfsburg,4,1,5,12.2,9.8,2.4,28,2324
Joakim Maehle,Wolfsburg,2,3,5,12.2,4.9,7.3,30,2324
Brenden Aaronson,Union Berlin,2,2,4,12.1,6.1,6.1,30,2324
Marvin Pieringer,FC Heidenheim,3,3,6,12.0,6.0,6.0,31,2324
Arne Maier,Augsburg,2,4,6,12.0,4.0,8.0,22,2324
Hugo Ekitike,Eintracht Frankfurt,4,2,6,11.8,7.8,3.9,14,2324
Farès Chaïbi,Eintracht Frankfurt,2,4,6,11.8,3.9,7.8,28,2324
Dani Olmo,RasenBallsport Leipzig,4,5,9,11.7,5.2,6.5,21,2324
Enzo Millot,VfB Stuttgart,5,4,9,11.5,6.4,5.1,31,2324
Amine Adli,Bayer Leverkusen,4,6,10,11.2,4.5,6.7,23,2324
Merlin Röhl,Freiburg,2,3,5,11.1,4.4,6.7,24,2324
Florian Neuhaus,Borussia M.Gladbach,4,2,6,10.7,7.1,3.6,25,2324
Gian-Luca Waldschmidt,FC Cologne,3,0,3,10.7,10.7,0.0,22,2324
Steffen Tigges,FC Cologne,3,0,3,10.7,10.7,0.0,25,2324
Sargis Adamyan,FC Cologne,1,2,3,10.7,3.6,7.1,20,2324
Denis Huseinbasic,FC Cologne,0,3,3,10.7,0.0,10.7,26,2324
Pavel Kaderábek,Hoffenheim,3,4,7,10.6,4.5,6.1,29,2324
Robert Skov,Hoffenheim,3,4,7,10.6,4.5,6.1,25,2324
Florian Grillitsch,Hoffenheim,1,6,7,10.6,1.5,9.1,30,2324
Marcel Sabitzer,Borussia Dortmund,4,3,7,10.3,5.9,4.4,25,2324
Jamie Leweling,VfB Stuttgart,4,4,8,10.3,5.1,5.1,34,2324
Silvan Widmer,Mainz 05,1,3,4,10.3,2.6,7.7,20,2324
Karim Onisiwo,Mainz 05,1,3,4,10.3,2.6,7.7,24,2324
Arne Engels,Augsburg,3,2,5,10.0,6.0,4.0,32,2324
Matthias Bader,Darmstadt,1,2,3,10.0,3.3,6.7,24,2324
Václav Cerny,Wolfsburg,4,0,4,9.8,9.8,0.0,22,2324
Mario Götze,Eintracht Frankfurt,3,2,5,9.8,5.9,3.9,30,2324
Niels Nkounkou,Eintracht Frankfurt,3,2,5,9.8,5.9,3.9,29,2324
Mattias Svanberg,Wolfsburg,1,3,4,9.8,2.4,7.3,25,2324
Gonçalo Paciência,Bochum,3,1,4,9.5,7.1,2.4,19,2324
Maximilian Wittek,Bochum,3,1,4,9.5,7.1,2.4,21,2324
