player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Tim Kleindienst,Borussia M.Gladbach,16,7,23,41.8,29.1,12.7,31,2425
Andrej Kramaric,Hoffenheim,11,8,19,41.3,23.9,17.4,32,2425
Vincenzo Grifo,Freiburg,8,11,19,38.8,16.3,22.4,34,2425
Jonathan Burkardt,Mainz 05,18,2,20,36.4,32.7,3.6,29,2425
Harry Kane,Bayern Munich,26,9,35,35.4,26.3,9.1,31,2425
Omar Marmoush,Eintracht Frankfurt,15,9,24,35.3,22.1,13.2,17,2425
Ritsu Doan,Freiburg,10,7,17,34.7,20.4,14.3,34,2425
Benjamin Sesko,RasenBallsport Leipzig,13,5,18,34.0,24.5,9.4,33,2425
Mohammed Amoura,Wolfsburg,10,9,19,33.9,17.9,16.1,31,2425
Hugo Ekitike,Eintracht Frankfurt,15,8,23,33.8,22.1,11.8,33,2425
Serhou Guirassy,Borussia Dortmund,21,2,23,32.4,29.6,2.8,30,2425
Alexis Claude Maurice,Augsburg,9,2,11,31.4,25.7,5.7,28,2425
Florian Wirtz,Bayer Leverkusen,10,12,22,30.6,13.9,16.7,31,2425
Xavi Simons,RasenBallsport Leipzig,10,6,16,30.2,18.9,11.3,25,2425
Marvin Pieringer,FC Heidenheim,7,4,11,29.7,18.9,10.8,31,2425
Marvin Ducksch,Werder Bremen,8,8,16,29.6,14.8,14.8,32,2425
Patrik Schick,Bayer Leverkusen,21,0,21,29.2,29.2,0.0,31,2425
Morgan Guilavogui,St. Pauli,6,2,8,28.6,21.4,7.1,25,2425
Jens Stage,Werder Bremen,10,5,15,27.8,18.5,9.3,28,2425
Benedict Hollerbach,Union Berlin,9,1,10,27.8,25.0,2.8,34,2425
Michael Olise,Bayern Munich,12,15,27,27.3,12.1,15.2,34,2425
Alassane Pléa,Borussia M.Gladbach,11,4,15,27.3,20.0,7.3,30,2425
Shuto Machino,Holstein Kiel,11,2,13,26.5,22.4,4.1,31,2425
Loïs Openda,RasenBallsport Leipzig,9,5,14,26.4,17.0,9.4,33,2425
Phillip Tietz,Augsburg,7,2,9,25.7,20.0,5.7,34,2425
Samuel Essende,Augsburg,7,2,9,25.7,20.0,5.7,30,2425
Paul Nebel,Mainz 05,10,4,14,25.5,18.2,7.3,31,2425
Ermedin Demirovic,VfB Stuttgart,15,1,16,25.0,23.4,1.6,34,2425
Myron Boadu,Bochum,7,1,8,25.0,21.9,3.1,18,2425
Johannes Eggestein,St. Pauli,3,4,7,25.0,10.7,14.3,27,2425
Mitchell Weiser,Werder Bremen,5,8,13,24.1,9.3,14.8,32,2425
Adam Hlozek,Hoffenheim,8,3,11,23.9,17.4,6.5,27,2425
Jae-Sung Lee,Mainz 05,7,6,13,23.6,12.7,10.9,33,2425
Nick Woltemade,VfB Stuttgart,12,2,14,21.9,18.8,3.1,28,2425
Nadiem Amiri,Mainz 05,7,5,12,21.8,12.7,9.1,30,2425
Jonas Wind,Wolfsburg,9,3,12,21.4,16.1,5.4,31,2425
Jackson Irvine,St. Pauli,0,6,6,21.4,0.0,21.4,29,2425
Julian Brandt,Borussia Dortmund,5,10,15,21.1,7.0,14.1,30,2425
Lucas Höler,Freiburg,6,4,10,20.4,12.2,8.2,31,2425
Franck Honorat,Borussia M.Gladbach,4,7,11,20.0,7.3,12.7,19,2425
Robin Hack,Borussia M.Gladbach,4,7,11,20.0,7.3,12.7,33,2425
Marius Bülter,Hoffenheim,7,2,9,19.6,15.2,4.3,25,2425
Andrej Ilic,Union Berlin,7,0,7,19.4,19.4,0.0,16,2425
Jan Schöppner,FC Heidenheim,4,3,7,18.9,10.8,8.1,33,2425
Deniz Undav,VfB Stuttgart,9,3,12,18.8,14.1,4.7,27,2425
Matús Bero,Bochum,5,1,6,18.8,15.6,3.1,29,2425
Philipp Hofmann,Bochum,3,3,6,18.8,9.4,9.4,31,2425
Felix Passlack,Bochum,1,5,6,18.8,3.1,15.6,30,2425
Phil Harres,Holstein Kiel,8,1,9,18.4,16.3,2.0,25,2425
Alexander Bernhardsson,Holstein Kiel,7,2,9,18.4,14.3,4.1,19,2425
Maximilian Beier,Borussia Dortmund,8,5,13,18.3,11.3,7.0,29,2425
Karim Adeyemi,Borussia Dortmund,7,6,13,18.3,9.9,8.5,25,2425
Elias Saad,St. Pauli,3,2,5,17.9,10.7,7.1,18,2425
Enzo Millot,VfB Stuttgart,6,5,11,17.2,9.4,7.8,29,2425
Romano Schmid,Werder Bremen,5,4,9,16.7,9.3,7.4,32,2425
Tom Rothe,Union Berlin,3,3,6,16.7,8.3,8.3,26,2425
Steven Skrzybski,Holstein Kiel,5,3,8,16.3,10.2,6.1,23,2425
Leroy Sané,Bayern Munich,11,5,16,16.2,11.1,5.1,30,2425
Mathias Honsak,FC Heidenheim,5,1,6,16.2,13.5,2.7,22,2425
Léo Scienza,FC Heidenheim,3,3,6,16.2,8.1,8.1,25,2425
Jamie Bynoe-Gittens,Borussia Dortmund,8,3,11,15.5,11.3,4.2,32,2425
Tom Bischof,Hoffenheim,5,2,7,15.2,10.9,4.3,31,2425
Anthony Caci,Mainz 05,1,7,8,14.5,1.8,12.7,33,2425
Maximilian Arnold,Wolfsburg,3,5,8,14.3,5.4,8.9,28,2425
Oladapo Afolayan,St. Pauli,3,1,4,14.3,10.7,3.6,32,2425
Jeffrey Gouweleeuw,Augsburg,1,4,5,14.3,2.9,11.4,33,2425
Dimitris Giannoulis,Augsburg,1,4,5,14.3,2.9,11.4,31,2425
Jamal Musiala,Bayern Munich,12,2,14,14.1,12.1,2.0,25,2425
Angelo Stiller,VfB Stuttgart,1,8,9,14.1,1.6,12.5,32,2425
Jeremie Frimpong,Bayer Leverkusen,5,5,10,13.9,6.9,6.9,33,2425
Woo-Yeong Jeong,Union Berlin,3,2,5,13.9,8.3,5.6,23,2425
Adrian Beck,FC Heidenheim,4,1,5,13.5,10.8,2.7,32,2425
Paul Wanner,FC Heidenheim,3,2,5,13.5,8.1,5.4,29,2425
Ansgar Knauff,Eintracht Frankfurt,4,5,9,13.2,5.9,7.4,30,2425
Nathaniel Brown,Eintracht Frankfurt,3,6,9,13.2,4.4,8.8,26,2425
Marco Grüll,Werder Bremen,6,1,7,13.0,11.1,1.9,30,2425
Pascal Groß,Borussia Dortmund,0,9,9,12.7,0.0,12.7,30,2425
Victor Boniface,Bayer Leverkusen,8,1,9,12.5,11.1,1.4,19,2425
Tiago Tomás,Wolfsburg,6,1,7,12.5,10.7,1.8,32,2425
Joakim Maehle,Wolfsburg,3,4,7,12.5,5.4,7.1,28,2425
Patrick Wimmer,Wolfsburg,3,4,7,12.5,5.4,7.1,29,2425
Granit Xhaka,Bayer Leverkusen,2,7,9,12.5,2.8,9.7,33,2425
