player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Branimir Hrgota,Greuther Fuerth,9,5,14,50.0,32.1,17.9,34,2122
Christopher Nkunku,RasenBallsport Leipzig,20,13,33,45.8,27.8,18.1,34,2122
Anthony Modeste,FC Cologne,20,3,23,44.2,38.5,5.8,32,2122
Robert Lewandowski,Bayern Munich,35,3,38,39.2,36.1,3.1,34,2122
Erling Haaland,Borussia Dortmund,22,7,29,34.1,25.9,8.2,24,2122
Patrik Schick,Bayer Leverkusen,24,3,27,33.8,30.0,3.8,27,2122
Masaya Okugawa,Arminia Bielefeld,8,1,9,33.3,29.6,3.7,33,2122
Patrick Wimmer,Arminia Bielefeld,3,6,9,33.3,11.1,22.2,31,2122
Taiwo Awoniyi,Union Berlin,15,1,16,32.0,30.0,2.0,31,2122
Jonas Hofmann,Borussia M.Gladbach,12,5,17,31.5,22.2,9.3,26,2122
Moussa Diaby,Bayer Leverkusen,13,12,25,31.2,16.2,15.0,32,2122
Alassane Pléa,Borussia M.Gladbach,10,6,16,29.6,18.5,11.1,33,2122
Sebastian Polter,Bochum,10,1,11,28.9,26.3,2.6,33,2122
Filip Kostic,Eintracht Frankfurt,4,9,13,28.9,8.9,20.0,31,2122
Jonathan Burkardt,Mainz 05,11,3,14,28.0,22.0,6.0,34,2122
Vincenzo Grifo,Freiburg,9,7,16,27.6,15.5,12.1,34,2122
Thomas Müller,Bayern Munich,8,18,26,26.8,8.2,18.6,32,2122
Santos Borré,Eintracht Frankfurt,8,4,12,26.7,17.8,8.9,31,2122
Karim Onisiwo,Mainz 05,5,8,13,26.0,10.0,16.0,31,2122
Marco Reus,Borussia Dortmund,9,13,22,25.9,10.6,15.3,29,2122
Andrej Kramaric,Hoffenheim,6,9,15,25.9,10.3,15.5,32,2122
Mark Uth,FC Cologne,5,8,13,25.0,9.6,15.4,30,2122
David Raum,Hoffenheim,3,11,14,24.1,5.2,19.0,32,2122
Gerrit Holtmann,Bochum,5,4,9,23.7,13.2,10.5,29,2122
Michael Gregoritsch,Augsburg,9,0,9,23.1,23.1,0.0,25,2122
Breel Embolo,Borussia M.Gladbach,9,3,12,22.2,16.7,5.6,29,2122
Borna Sosa,VfB Stuttgart,1,8,9,22.0,2.4,19.5,28,2122
Jamie Leweling,Greuther Fuerth,5,1,6,21.4,17.9,3.6,33,2122
Florian Wirtz,Bayer Leverkusen,7,10,17,21.2,8.8,12.5,24,2122
Florian Niederlechner,Augsburg,5,3,8,20.5,12.8,7.7,26,2122
Julian Brandt,Borussia Dortmund,9,8,17,20.0,10.6,9.4,31,2122
Jesper Lindstrom,Eintracht Frankfurt,5,4,9,20.0,11.1,8.9,29,2122
Sheraldo Becker,Union Berlin,4,6,10,20.0,8.0,12.0,28,2122
Serge Gnabry,Bayern Munich,14,5,19,19.6,14.4,5.2,34,2122
André Silva,RasenBallsport Leipzig,11,3,14,19.4,15.3,4.2,33,2122
Dominik Szoboszlai,RasenBallsport Leipzig,6,8,14,19.4,8.3,11.1,31,2122
Christian Günter,Freiburg,2,9,11,19.0,3.4,15.5,34,2122
Stevan Jovetic,Hertha Berlin,6,1,7,18.9,16.2,2.7,18,2122
Ishak Belfodil,Hertha Berlin,5,2,7,18.9,13.5,5.4,26,2122
Vladimir Darida,Hertha Berlin,2,5,7,18.9,5.4,13.5,25,2122
Lukas Nmecha,Wolfsburg,8,0,8,18.6,18.6,0.0,25,2122
Bote Baku,Wolfsburg,3,5,8,18.6,7.0,11.6,34,2122
Janni Serra,Arminia Bielefeld,3,2,5,18.5,11.1,7.4,26,2122
Milos Pantovic,Bochum,4,3,7,18.4,10.5,7.9,28,2122
Takuma Asano,Bochum,3,4,7,18.4,7.9,10.5,27,2122
Grischa Prömel,Union Berlin,8,1,9,18.0,16.0,2.0,29,2122
Silvan Widmer,Mainz 05,4,5,9,18.0,8.0,10.0,33,2122
Niko Gießelmann,Union Berlin,3,6,9,18.0,6.0,12.0,28,2122
André Hahn,Augsburg,5,2,7,17.9,12.8,5.1,32,2122
Iago,Augsburg,2,5,7,17.9,5.1,12.8,28,2122
Arne Maier,Augsburg,1,6,7,17.9,2.6,15.4,29,2122
Evan Ndicka,Eintracht Frankfurt,4,4,8,17.8,8.9,8.9,32,2122
Georginio Rutter,Hoffenheim,8,2,10,17.2,13.8,3.4,33,2122
Sasa Kalajdzic,VfB Stuttgart,6,1,7,17.1,14.6,2.4,15,2122
Lars Stindl,Borussia M.Gladbach,4,5,9,16.7,7.4,9.3,26,2122
Wout Weghorst,Wolfsburg,6,1,7,16.3,14.0,2.3,18,2122
Marco Richter,Hertha Berlin,5,1,6,16.2,13.5,2.7,30,2122
Genki Haraguchi,Union Berlin,2,6,8,16.0,4.0,12.0,30,2122
Daichi Kamada,Eintracht Frankfurt,4,3,7,15.6,8.9,6.7,32,2122
Ihlas Bebou,Hoffenheim,7,2,9,15.5,12.1,3.4,28,2122
Lucas Höler,Freiburg,7,2,9,15.5,12.1,3.4,34,2122
Christoph Baumgartner,Hoffenheim,7,2,9,15.5,12.1,3.4,29,2122
Daniel Caligiuri,Augsburg,4,2,6,15.4,10.3,5.1,28,2122
Florian Kainz,FC Cologne,4,4,8,15.4,7.7,7.7,32,2122
Florian Neuhaus,Borussia M.Gladbach,4,4,8,14.8,7.4,7.4,29,2122
Fabian Klos,Arminia Bielefeld,3,1,4,14.8,11.1,3.7,25,2122
Wataru Endo,VfB Stuttgart,4,2,6,14.6,9.8,4.9,33,2122
Leroy Sané,Bayern Munich,7,7,14,14.4,7.2,7.2,32,2122
Joshua Kimmich,Bayern Munich,3,11,14,14.4,3.1,11.3,28,2122
Jonas Wind,Wolfsburg,5,1,6,14.0,11.6,2.3,14,2122
Maximilian Arnold,Wolfsburg,4,2,6,14.0,9.3,4.7,34,2122
Jae-Sung Lee,Mainz 05,4,3,7,14.0,8.0,6.0,27,2122
Anton Stach,Mainz 05,1,6,7,14.0,2.0,12.0,29,2122
Roland Sallai,Freiburg,4,4,8,13.8,6.9,6.9,31,2122
Maximilian Mittelstädt,Hertha Berlin,0,5,5,13.5,0.0,13.5,24,2122
Simon Zoller,Bochum,3,2,5,13.2,7.9,5.3,10,2122
Jude Bellingham,Borussia Dortmund,3,8,11,12.9,3.5,9.4,32,2122
Chris Führich,VfB Stuttgart,3,2,5,12.2,7.3,4.9,25,2122
Woo-Yeong Jeong,Freiburg,5,2,7,12.1,8.6,3.4,32,2122
Munas Dabbur,Hoffenheim,3,4,7,12.1,5.2,6.9,27,2122
Maximilian Philipp,Wolfsburg,1,4,5,11.6,2.3,9.3,22,2122
Jan Thielmann,FC Cologne,3,3,6,11.5,5.8,5.8,29,2122
Jonas Hector,FC Cologne,0,6,6,11.5,0.0,11.5,30,2122
Emil Forsberg,RasenBallsport Leipzig,6,2,8,11.1,8.3,2.8,31,2122
Konrad Laimer,RasenBallsport Leipzig,4,4,8,11.1,5.6,5.6,26,2122
Djibril Sow,Eintracht Frankfurt,2,3,5,11.1,4.4,6.7,31,2122
Florian Krüger,Arminia Bielefeld,1,2,3,11.1,3.7,7.4,27,2122
Robin Hack,Arminia Bielefeld,0,3,3,11.1,0.0,11.1,30,2122
Davie Selke,Hertha Berlin,4,0,4,10.8,10.8,0.0,25,2122
Jessic Ngankam,Greuther Fuerth,2,1,3,10.7,7.1,3.6,6,2122
Timothy Tillman,Greuther Fuerth,1,2,3,10.7,3.6,7.1,29,2122
Paul Seguin,Greuther Fuerth,0,3,3,10.7,0.0,10.7,27,2122
Eduard Löwen,Bochum,2,2,4,10.5,5.3,5.3,26,2122
Nils Petersen,Freiburg,5,1,6,10.3,8.6,1.7,22,2122
Jamal Musiala,Bayern Munich,5,5,10,10.3,5.2,5.2,30,2122
Nicolas Höfler,Freiburg,2,4,6,10.3,3.4,6.9,30,2122
Ruben Vargas,Augsburg,1,3,4,10.3,2.6,7.7,29,2122
Konstantinos Mavropanos,VfB Stuttgart,4,0,4,9.8,9.8,0.0,31,2122
Tiago Tomás,VfB Stuttgart,4,0,4,9.8,9.8,0.0,14,2122
Hamadi Al Ghaddioui,VfB Stuttgart,2,2,4,9.8,4.9,4.9,10,2122
Orel Mangala,VfB Stuttgart,1,3,4,9.8,2.4,7.3,28,2122
Angelino,RasenBallsport Leipzig,2,5,7,9.7,2.8,6.9,29,2122
Ellyes Skhiri,FC Cologne,4,1,5,9.6,7.7,1.9,22,2122
Benno Schmitz,FC Cologne,0,5,5,9.6,0.0,9.6,31,2122
Donyell Malen,Borussia Dortmund,5,3,8,9.4,5.9,3.5,27,2122
Kingsley Coman,Bayern Munich,6,3,9,9.3,6.2,3.1,21,2122
Ramy Bensebaini,Borussia M.Gladbach,4,1,5,9.3,7.4,1.9,23,2122
Yannick Gerhardt,Wolfsburg,1,3,4,9.3,2.3,7.0,27,2122
Tuta,Eintracht Frankfurt,4,0,4,8.9,8.9,0.0,26,2122
Jens Petter Hauge,Eintracht Frankfurt,2,2,4,8.9,4.4,4.4,26,2122
Jeremie Frimpong,Bayer Leverkusen,1,6,7,8.8,1.2,7.5,25,2122
Philipp Lienhart,Freiburg,5,0,5,8.6,8.6,0.0,32,2122
Nico Schlotterbeck,Freiburg,4,1,5,8.6,6.9,1.7,32,2122
Kevin Schade,Freiburg,4,1,5,8.6,6.9,1.7,21,2122
Kevin Akpoguma,Hoffenheim,2,3,5,8.6,3.4,5.2,26,2122
Ermedin Demirovic,Freiburg,2,3,5,8.6,3.4,5.2,31,2122
Yussuf Poulsen,RasenBallsport Leipzig,6,0,6,8.3,8.3,0.0,25,2122
