player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Haris Tabakovic,Borussia M.Gladbach,7,2,9,52.9,41.2,11.8,12,2526
Andréas Hountondji,St. Pauli,4,0,4,40.0,40.0,0.0,11,2526
Harry Kane,Bayern Munich,14,3,17,38.6,31.8,6.8,12,2526
Christoph Baumgartner,RasenBallsport Leipzig,5,3,8,36.4,22.7,13.6,12,2526
Nadiem Amiri,Mainz 05,3,1,4,36.4,27.3,9.1,12,2526
Mohammed Amoura,Wolfsburg,4,1,5,35.7,28.6,7.1,12,2526
Deniz Undav,VfB Stuttgart,7,0,7,33.3,33.3,0.0,8,2526
Said El Mala,FC Cologne,5,2,7,33.3,23.8,9.5,12,2526
Ilyas Ansah,Union Berlin,4,1,5,33.3,26.7,6.7,12,2526
Fabian Rieder,Augsburg,3,2,5,33.3,20.0,13.3,10,2526
Andrej Ilic,Union Berlin,0,5,5,33.3,0.0,33.3,11,2526
Rômulo,RasenBallsport Leipzig,4,3,7,31.8,18.2,13.6,10,2526
Jens Stage,Werder Bremen,4,1,5,31.2,25.0,6.2,10,2526
Stefan Schimmer,FC Heidenheim,3,0,3,30.0,30.0,0.0,7,2526
Danel Sinani,St. Pauli,2,1,3,30.0,20.0,10.0,12,2526
Jonathan Burkardt,Eintracht Frankfurt,8,0,8,28.6,28.6,0.0,10,2526
Serhou Guirassy,Borussia Dortmund,5,1,6,28.6,23.8,4.8,11,2526
Jakub Kaminski,FC Cologne,5,1,6,28.6,23.8,4.8,12,2526
Can Uzun,Eintracht Frankfurt,5,3,8,28.6,17.9,10.7,9,2526
Marius Bülter,FC Cologne,3,3,6,28.6,14.3,14.3,10,2526
Maximilian Arnold,Wolfsburg,1,3,4,28.6,7.1,21.4,11,2526
Fisnik Asllani,Hoffenheim,5,2,7,28.0,20.0,8.0,12,2526
Luis Díaz,Bayern Munich,7,5,12,27.3,15.9,11.4,12,2526
Michael Olise,Bayern Munich,6,6,12,27.3,13.6,13.6,12,2526
Rayan Philippe,Hamburger SV,3,0,3,27.3,27.3,0.0,12,2526
Assan Ouédraogo,RasenBallsport Leipzig,3,3,6,27.3,13.6,13.6,11,2526
Danilho Doekhi,Union Berlin,4,0,4,26.7,26.7,0.0,12,2526
Mert Kömür,Augsburg,2,2,4,26.7,13.3,13.3,11,2526
Vincenzo Grifo,Freiburg,4,1,5,26.3,21.1,5.3,12,2526
Patrik Schick,Bayer Leverkusen,5,2,7,25.0,17.9,7.1,10,2526
Álex Grimaldo,Bayer Leverkusen,4,3,7,25.0,14.3,10.7,11,2526
Ritsu Doan,Eintracht Frankfurt,3,4,7,25.0,10.7,14.3,12,2526
Samuel Mbangula,Werder Bremen,3,1,4,25.0,18.8,6.2,11,2526
Romano Schmid,Werder Bremen,2,2,4,25.0,12.5,12.5,12,2526
Farès Chaïbi,Eintracht Frankfurt,1,6,7,25.0,3.6,21.4,11,2526
Andrej Kramaric,Hoffenheim,3,3,6,24.0,12.0,12.0,12,2526
Wouter Burger,Hoffenheim,3,3,6,24.0,12.0,12.0,11,2526
Karim Adeyemi,Borussia Dortmund,4,1,5,23.8,19.0,4.8,12,2526
Maximilian Beier,Borussia Dortmund,3,2,5,23.8,14.3,9.5,10,2526
Bilal El Khannouss,VfB Stuttgart,2,3,5,23.8,9.5,14.3,10,2526
Yan Diomande,RasenBallsport Leipzig,3,2,5,22.7,13.6,9.1,12,2526
Ernest Poku,Bayer Leverkusen,4,2,6,21.4,14.3,7.1,11,2526
Mattias Svanberg,Wolfsburg,2,1,3,21.4,14.3,7.1,11,2526
Sael Kumbedi,Wolfsburg,0,3,3,21.4,0.0,21.4,6,2526
Grischa Prömel,Hoffenheim,4,1,5,20.0,16.0,4.0,12,2526
Tim Lemperle,Hoffenheim,4,1,5,20.0,16.0,4.0,11,2526
Rani Khedira,Union Berlin,3,0,3,20.0,20.0,0.0,12,2526
Oliver Burke,Union Berlin,3,0,3,20.0,20.0,0.0,11,2526
Bazoumana Touré,Hoffenheim,2,3,5,20.0,8.0,12.0,12,2526
Jonas Föhrenbach,FC Heidenheim,1,1,2,20.0,10.0,10.0,12,2526
Vladimir Coufal,Hoffenheim,1,4,5,20.0,4.0,16.0,12,2526
Mikkel Kaufmann,FC Heidenheim,1,1,2,20.0,10.0,10.0,7,2526
Sirlord Conteh,FC Heidenheim,1,1,2,20.0,10.0,10.0,4,2526
Pereira Lage,St. Pauli,0,2,2,20.0,0.0,20.0,12,2526
Arijon Ibrahimovic,FC Heidenheim,0,2,2,20.0,0.0,20.0,12,2526
Omar Traoré,FC Heidenheim,0,2,2,20.0,0.0,20.0,12,2526
Gian-Luca Waldschmidt,FC Cologne,3,1,4,19.0,14.3,4.8,8,2526
Ermedin Demirovic,VfB Stuttgart,3,1,4,19.0,14.3,4.8,6,2526
Julian Brandt,Borussia Dortmund,2,2,4,19.0,9.5,9.5,10,2526
Maximilian Mittelstädt,VfB Stuttgart,2,2,4,19.0,9.5,9.5,11,2526
Ragnar Ache,FC Cologne,1,3,4,19.0,4.8,14.3,11,2526
Angelo Stiller,VfB Stuttgart,1,3,4,19.0,4.8,14.3,12,2526
Marco Grüll,Werder Bremen,2,1,3,18.8,12.5,6.2,12,2526
Yukinari Sugawara,Werder Bremen,0,3,3,18.8,0.0,18.8,11,2526
Jean-Luc Dompe,Hamburger SV,2,0,2,18.2,18.2,0.0,10,2526
Armindo Sieb,Mainz 05,2,0,2,18.2,18.2,0.0,11,2526
Albert Sambi Lokonga,Hamburger SV,2,0,2,18.2,18.2,0.0,9,2526
Fábio Vieira,Hamburger SV,1,1,2,18.2,9.1,9.1,7,2526
Kaishu Sano,Mainz 05,1,1,2,18.2,9.1,9.1,13,2526
Miro Muheim,Hamburger SV,0,2,2,18.2,0.0,18.2,12,2526
Edmond Tapsoba,Bayer Leverkusen,3,2,5,17.9,10.7,7.1,12,2526
Franck Honorat,Borussia M.Gladbach,0,3,3,17.6,0.0,17.6,9,2526
Serge Gnabry,Bayern Munich,4,3,7,15.9,9.1,6.8,10,2526
Lukas Kübler,Freiburg,2,1,3,15.8,10.5,5.3,9,2526
Yuito Suzuki,Freiburg,2,1,3,15.8,10.5,5.3,7,2526
Johan Manzambi,Freiburg,2,1,3,15.8,10.5,5.3,10,2526
Malik Tillman,Bayer Leverkusen,3,1,4,14.3,10.7,3.6,8,2526
Tiago Tomás,VfB Stuttgart,3,0,3,14.3,14.3,0.0,11,2526
Jan Thielmann,FC Cologne,2,1,3,14.3,9.5,4.8,9,2526
Aaron Zehnter,Wolfsburg,2,0,2,14.3,14.3,0.0,9,2526
Adam Daghim,Wolfsburg,2,0,2,14.3,14.3,0.0,8,2526
Chris Führich,VfB Stuttgart,1,2,3,14.3,4.8,9.5,11,2526
Lovro Majer,Wolfsburg,1,1,2,14.3,7.1,7.1,10,2526
Julian Ryerson,Borussia Dortmund,0,3,3,14.3,0.0,14.3,11,2526
Jamie Leweling,VfB Stuttgart,0,3,3,14.3,0.0,14.3,11,2526
Han-Noah Massengo,Augsburg,1,1,2,13.3,6.7,6.7,12,2526
Chrislain Matsima,Augsburg,1,1,2,13.3,6.7,6.7,12,2526
Dimitris Giannoulis,Augsburg,1,1,2,13.3,6.7,6.7,10,2526
Kristijan Jakic,Augsburg,1,1,2,13.3,6.7,6.7,9,2526
Robin Fellhauer,Augsburg,1,1,2,13.3,6.7,6.7,12,2526
Justin Njinmah,Werder Bremen,2,0,2,12.5,12.5,0.0,11,2526
Victor Boniface,Werder Bremen,0,2,2,12.5,0.0,12.5,10,2526
Kevin Diks,Borussia M.Gladbach,2,0,2,11.8,11.8,0.0,13,2526
Shuto Machino,Borussia M.Gladbach,2,0,2,11.8,11.8,0.0,12,2526
Yannick Engelhardt,Borussia M.Gladbach,1,1,2,11.8,5.9,5.9,11,2526
Joe Scally,Borussia M.Gladbach,0,2,2,11.8,0.0,11.8,12,2526
Christian Kofane,Bayer Leverkusen,3,0,3,10.7,10.7,0.0,11,2526
Jonas Hofmann,Bayer Leverkusen,2,1,3,10.7,7.1,3.6,9,2526
Ansgar Knauff,Eintracht Frankfurt,2,1,3,10.7,7.1,3.6,12,2526
Jean Négoce,Eintracht Frankfurt,2,1,3,10.7,7.1,3.6,11,2526
Ibrahim Maza,Bayer Leverkusen,2,1,3,10.7,7.1,3.6,10,2526
Nathaniel Brown,Eintracht Frankfurt,1,2,3,10.7,3.6,7.1,12,2526
Aleix García,Bayer Leverkusen,0,3,3,10.7,0.0,10.7,12,2526
Maximilian Eggestein,Freiburg,2,0,2,10.5,10.5,0.0,12,2526
Derry Scherhant,Freiburg,2,0,2,10.5,10.5,0.0,11,2526
Igor Matanovic,Freiburg,2,0,2,10.5,10.5,0.0,10,2526
Junior Adamu,Freiburg,1,1,2,10.5,5.3,5.3,8,2526
Hauke Wahl,St. Pauli,1,0,1,10.0,10.0,0.0,11,2526
Jan Schöppner,FC Heidenheim,1,0,1,10.0,10.0,0.0,11,2526
Eric Smith,St. Pauli,1,0,1,10.0,10.0,0.0,12,2526
Adam Dzwigala,St. Pauli,1,0,1,10.0,10.0,0.0,6,2526
Léo Scienza,FC Heidenheim,1,0,1,10.0,10.0,0.0,2,2526
Budu Zivzivadze,FC Heidenheim,1,0,1,10.0,10.0,0.0,8,2526
Adam Kölle,FC Heidenheim,1,0,1,10.0,10.0,0.0,5,2526
Louis Oppie,St. Pauli,1,0,1,10.0,10.0,0.0,12,2526
Marnon Busch,FC Heidenheim,0,1,1,10.0,0.0,10.0,12,2526
Patrick Mainka,FC Heidenheim,0,1,1,10.0,0.0,10.0,12,2526
Connor Metcalfe,St. Pauli,0,1,1,10.0,0.0,10.0,12,2526
Manolis Saliakas,St. Pauli,0,1,1,10.0,0.0,10.0,8,2526
Joel Chima Fujita,St. Pauli,0,1,1,10.0,0.0,10.0,12,2526
Joshua Vagnoman,VfB Stuttgart,1,1,2,9.5,4.8,4.8,10,2526
Felix Nmecha,Borussia Dortmund,1,1,2,9.5,4.8,4.8,12,2526
Yan Couto,Borussia Dortmund,1,1,2,9.5,4.8,4.8,7,2526
Daniel Svensson,Borussia Dortmund,1,1,2,9.5,4.8,4.8,12,2526
Fabio Silva,Borussia Dortmund,0,2,2,9.5,0.0,9.5,6,2526
Eric Martel,FC Cologne,0,2,2,9.5,0.0,9.5,12,2526
Raphael Guerreiro,Bayern Munich,2,2,4,9.1,4.5,4.5,7,2526
Lennart Karl,Bayern Munich,2,2,4,9.1,4.5,4.5,10,2526
Johan Bakayoko,RasenBallsport Leipzig,2,0,2,9.1,9.1,0.0,11,2526
Joshua Kimmich,Bayern Munich,1,3,4,9.1,2.3,6.8,11,2526
Danny da Costa,Mainz 05,1,0,1,9.1,9.1,0.0,13,2526
Dominik Kohr,Mainz 05,1,0,1,9.1,9.1,0.0,10,2526
Silvan Widmer,Mainz 05,1,0,1,9.1,9.1,0.0,9,2526
Konrad Laimer,Bayern Munich,1,3,4,9.1,2.3,6.8,12,2526
Paul Nebel,Mainz 05,1,0,1,9.1,9.1,0.0,10,2526
Robert Glatzel,Hamburger SV,1,0,1,9.1,9.1,0.0,9,2526
David Raum,RasenBallsport Leipzig,1,1,2,9.1,4.5,4.5,12,2526
Jae-Sung Lee,Mainz 05,1,0,1,9.1,9.1,0.0,11,2526
Antonio Nusa,RasenBallsport Leipzig,1,1,2,9.1,4.5,4.5,11,2526
Luka Vuskovic,Hamburger SV,1,0,1,9.1,9.1,0.0,10,2526
Ransford Königsdörffer,Hamburger SV,1,0,1,9.1,9.1,0.0,12,2526
Bote Baku,RasenBallsport Leipzig,0,2,2,9.1,0.0,9.1,12,2526
Andreas Hanche-Olsen,Mainz 05,0,1,1,9.1,0.0,9.1,12,2526
Benedict Hollerbach,Mainz 05,0,1,1,9.1,0.0,9.1,9,2526
Nicolai Remberg,Hamburger SV,0,1,1,9.1,0.0,9.1,12,2526
Nicolás Capaldo,Hamburger SV,0,1,1,9.1,0.0,9.1,10,2526
Alexander Røssing-Lelesiit,Hamburger SV,0,1,1,9.1,0.0,9.1,8,2526
Fabio Baldé,Hamburger SV,0,1,1,9.1,0.0,9.1,7,2526
Robin Koch,Eintracht Frankfurt,2,0,2,7.1,7.1,0.0,12,2526
Andreas Skov Olsen,Wolfsburg,1,0,1,7.1,7.1,0.0,8,2526
Denis Vavro,Wolfsburg,1,0,1,7.1,7.1,0.0,2,2526
Christian Eriksen,Wolfsburg,0,1,1,7.1,0.0,7.1,9,2526
Joakim Maehle,Wolfsburg,0,1,1,7.1,0.0,7.1,7,2526
Patrick Wimmer,Wolfsburg,0,1,1,7.1,0.0,7.1,9,2526
Hugo Larsson,Eintracht Frankfurt,0,2,2,7.1,0.0,7.1,8,2526
Nicolas Jackson,Bayern Munich,3,0,3,6.8,6.8,0.0,10,2526
Tom Bischof,Bayern Munich,0,3,3,6.8,0.0,6.8,10,2526
Marius Wolf,Augsburg,1,0,1,6.7,6.7,0.0,9,2526
Anton Kade,Augsburg,1,0,1,6.7,6.7,0.0,8,2526
Tom Rothe,Union Berlin,1,0,1,6.7,6.7,0.0,11,2526
Phillip Tietz,Augsburg,1,0,1,6.7,6.7,0.0,9,2526
Samuel Essende,Augsburg,1,0,1,6.7,6.7,0.0,8,2526
Noahkai Banks,Augsburg,1,0,1,6.7,6.7,0.0,9,2526
Janik Haberer,Union Berlin,0,1,1,6.7,0.0,6.7,12,2526
Christopher Trimmel,Union Berlin,0,1,1,6.7,0.0,6.7,11,2526
Marco Friedl,Werder Bremen,1,0,1,6.2,6.2,0.0,11,2526
Karim Coulibaly,Werder Bremen,1,0,1,6.2,6.2,0.0,12,2526
Isaac Schmidt,Werder Bremen,1,0,1,6.2,6.2,0.0,6,2526
Keke Maximilian Topp,Werder Bremen,0,1,1,6.2,0.0,6.2,8,2526
Oscar Fraulo,Borussia M.Gladbach,1,0,1,5.9,5.9,0.0,4,2526
Grant-Leon Ranos,Borussia M.Gladbach,1,0,1,5.9,5.9,0.0,6,2526
Philipp Sander,Borussia M.Gladbach,1,0,1,5.9,5.9,0.0,9,2526
Jens Castrop,Borussia M.Gladbach,1,0,1,5.9,5.9,0.0,10,2526
Florian Neuhaus,Borussia M.Gladbach,0,1,1,5.9,0.0,5.9,10,2526
Luca Netz,Borussia M.Gladbach,0,1,1,5.9,0.0,5.9,9,2526
Rocco Reitz,Borussia M.Gladbach,0,1,1,5.9,0.0,5.9,13,2526
Charles Herrmann,Borussia M.Gladbach,0,1,1,5.9,0.0,5.9,1,2526
Patrick Osterhage,Freiburg,1,0,1,5.3,5.3,0.0,7,2526
Matthias Ginter,Freiburg,0,1,1,5.3,0.0,5.3,12,2526
Christian Günter,Freiburg,0,1,1,5.3,0.0,5.3,7,2526
Lucas Höler,Freiburg,0,1,1,5.3,0.0,5.3,11,2526
Jan-Niklas Beste,Freiburg,0,1,1,5.3,0.0,5.3,9,2526
Waldemar Anton,Borussia Dortmund,1,0,1,4.8,4.8,0.0,12,2526
Emre Can,Borussia Dortmund,1,0,1,4.8,4.8,0.0,2,2526
Florian Kainz,FC Cologne,1,0,1,4.8,4.8,0.0,9,2526
