Rank,Team,Elo,Matches
1,Bayern Munich,1720.55,12
2,Dortmund,1624.18,12
3,RB Leipzig,1618.76,12
4,Hoffenheim,1590.1,12
5,Leverkusen,1582.05,12
6,Stuttgart,1548.3,12
7,Ein Frankfurt,1542.6,12
8,Freiburg,1508.14,12
9,M'gladbach,1495.45,12
10,Werder Bremen,1478.9,12
11,FC Koln,1475.08,12
12,Union Berlin,1453.62,12
13,Hamburg,1445.49,12
14,Augsburg,1410.65,12
15,Wolfsburg,1410.0,12
16,Mainz,1388.22,12
17,Heidenheim,1374.32,12
18,St Pauli,1333.6,12
