player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Randal Kolo Muani,Eintracht Frankfurt,15,11,26,44.8,25.9,19.0,32,2223
Niclas Füllkrug,Werder Bremen,16,5,21,41.2,31.4,9.8,28,2223
Jonas Hofmann,Borussia M.Gladbach,12,9,21,40.4,23.1,17.3,31,2223
Vincenzo Grifo,Freiburg,15,5,20,39.2,29.4,9.8,33,2223
Marcus Thuram,Borussia M.Gladbach,13,6,19,36.5,25.0,11.5,30,2223
Marvin Ducksch,Werder Bremen,12,6,18,35.3,23.5,11.8,34,2223
Sheraldo Becker,Union Berlin,11,7,18,35.3,21.6,13.7,34,2223
Marius Bülter,Schalke 04,11,1,12,34.3,31.4,2.9,33,2223
Dodi Lukebakio,Hertha Berlin,11,3,14,33.3,26.2,7.1,32,2223
Florian Kainz,FC Cologne,6,10,16,32.7,12.2,20.4,32,2223
Christopher Nkunku,RasenBallsport Leipzig,16,4,20,31.2,25.0,6.2,25,2223
Andrej Kramaric,Hoffenheim,12,3,15,31.2,25.0,6.2,32,2223
Mërgim Berisha,Augsburg,9,4,13,31.0,21.4,9.5,23,2223
Moussa Diaby,Bayer Leverkusen,9,8,17,29.8,15.8,14.0,33,2223
Lars Stindl,Borussia M.Gladbach,8,7,15,28.8,15.4,13.5,29,2223
Ermedin Demirovic,Augsburg,8,4,12,28.6,19.0,9.5,30,2223
Michael Gregoritsch,Freiburg,10,4,14,27.5,19.6,7.8,30,2223
Jeremie Frimpong,Bayer Leverkusen,8,7,15,26.3,14.0,12.3,34,2223
Marco Richter,Hertha Berlin,6,5,11,26.2,14.3,11.9,29,2223
Daichi Kamada,Eintracht Frankfurt,9,6,15,25.9,15.5,10.3,32,2223
Philipp Hofmann,Bochum,8,2,10,25.0,20.0,5.0,34,2223
Philipp Förster,Bochum,3,7,10,25.0,7.5,17.5,25,2223
Serhou Guirassy,VfB Stuttgart,11,0,11,24.4,24.4,0.0,22,2223
Jamal Musiala,Bayern Munich,12,10,22,23.9,13.0,10.9,33,2223
Christopher Antwi-Adjei,Bochum,3,6,9,22.5,7.5,15.0,29,2223
Karim Onisiwo,Mainz 05,10,2,12,22.2,18.5,3.7,31,2223
Mitchell Weiser,Werder Bremen,2,9,11,21.6,3.9,17.6,30,2223
Alassane Pléa,Borussia M.Gladbach,2,9,11,21.2,3.8,17.3,29,2223
Patrick Wimmer,Wolfsburg,4,8,12,21.1,7.0,14.0,26,2223
Christoph Baumgartner,Hoffenheim,7,3,10,20.8,14.6,6.2,33,2223
Serge Gnabry,Bayern Munich,14,5,19,20.7,15.2,5.4,34,2223
Julian Brandt,Borussia Dortmund,9,8,17,20.5,10.8,9.6,32,2223
Jae-Sung Lee,Mainz 05,7,4,11,20.4,13.0,7.4,34,2223
Linton Maina,FC Cologne,3,7,10,20.4,6.1,14.3,33,2223
Dominik Szoboszlai,RasenBallsport Leipzig,6,7,13,20.3,9.4,10.9,31,2223
Kevin Stöger,Bochum,5,3,8,20.0,12.5,7.5,32,2223
Wataru Endo,VfB Stuttgart,5,4,9,20.0,11.1,8.9,33,2223
Dominick Drexler,Schalke 04,4,3,7,20.0,11.4,8.6,27,2223
Borna Sosa,VfB Stuttgart,2,7,9,20.0,4.4,15.6,25,2223
Rodrigo Zalazar,Schalke 04,1,6,7,20.0,2.9,17.1,22,2223
Raphael Guerreiro,Borussia Dortmund,4,12,16,19.3,4.8,14.5,27,2223
Timo Werner,RasenBallsport Leipzig,9,3,12,18.8,14.1,4.7,27,2223
Marcus Ingvartsen,Mainz 05,10,0,10,18.5,18.5,0.0,28,2223
Donyell Malen,Borussia Dortmund,9,6,15,18.1,10.8,7.2,26,2223
Kevin Behrens,Union Berlin,8,1,9,17.6,15.7,2.0,33,2223
Ritsu Doan,Freiburg,5,4,9,17.6,9.8,7.8,33,2223
Yannick Gerhardt,Wolfsburg,6,4,10,17.5,10.5,7.0,29,2223
Mattias Svanberg,Wolfsburg,4,6,10,17.5,7.0,10.5,32,2223
Munas Dabbur,Hoffenheim,6,2,8,16.7,12.5,4.2,21,2223
Lucas Tousart,Hertha Berlin,5,2,7,16.7,11.9,4.8,33,2223
Ruben Vargas,Augsburg,3,4,7,16.7,7.1,9.5,23,2223
Angelino,Hoffenheim,0,8,8,16.7,0.0,16.7,33,2223
Leroy Sané,Bayern Munich,8,7,15,16.3,8.7,7.6,32,2223
Thomas Müller,Bayern Munich,7,8,15,16.3,7.6,8.7,27,2223
Ellyes Skhiri,FC Cologne,7,1,8,16.3,14.3,2.0,32,2223
Jordan Siebatcheu,Union Berlin,4,4,8,15.7,7.8,7.8,31,2223
Emil Forsberg,RasenBallsport Leipzig,6,4,10,15.6,9.4,6.2,30,2223
Chris Führich,VfB Stuttgart,5,2,7,15.6,11.1,4.4,33,2223
Silas Wamangituka,VfB Stuttgart,5,2,7,15.6,11.1,4.4,30,2223
Jesper Lindstrom,Eintracht Frankfurt,7,2,9,15.5,12.1,3.4,27,2223
Aarón Martín,Mainz 05,5,3,8,14.8,9.3,5.6,28,2223
Ihlas Bebou,Hoffenheim,7,0,7,14.6,14.6,0.0,19,2223
Sébastien Haller,Borussia Dortmund,9,3,12,14.5,10.8,3.6,19,2223
Jude Bellingham,Borussia Dortmund,8,4,12,14.5,9.6,4.8,31,2223
Steffen Tigges,FC Cologne,6,1,7,14.3,12.2,2.0,30,2223
Arne Maier,Augsburg,5,1,6,14.3,11.9,2.4,30,2223
Simon Terodde,Schalke 04,5,0,5,14.3,14.3,0.0,32,2223
Suat Serdar,Hertha Berlin,4,2,6,14.3,9.5,4.8,32,2223
Stevan Jovetic,Hertha Berlin,4,2,6,14.3,9.5,4.8,17,2223
Sebastian Polter,Schalke 04,2,3,5,14.3,5.7,8.6,19,2223
Kingsley Coman,Bayern Munich,8,5,13,14.1,8.7,5.4,24,2223
Maximilian Arnold,Wolfsburg,5,3,8,14.0,8.8,5.3,32,2223
Bote Baku,Wolfsburg,5,3,8,14.0,8.8,5.3,33,2223
Amine Adli,Bayer Leverkusen,5,3,8,14.0,8.8,5.3,26,2223
Adam Hlozek,Bayer Leverkusen,5,3,8,14.0,8.8,5.3,29,2223
Felix Nmecha,Wolfsburg,3,5,8,14.0,5.3,8.8,30,2223
Lucas Höler,Freiburg,5,2,7,13.7,9.8,3.9,26,2223
Anthony Jung,Werder Bremen,2,5,7,13.7,3.9,9.8,34,2223
Ramy Bensebaini,Borussia M.Gladbach,6,1,7,13.5,11.5,1.9,28,2223
Karim Adeyemi,Borussia Dortmund,6,5,11,13.3,7.2,6.0,24,2223
Tiago Tomás,VfB Stuttgart,3,3,6,13.3,6.7,6.7,27,2223
Eric Maxim Choupo-Moting,Bayern Munich,10,2,12,13.0,10.9,2.2,19,2223
Sadio Mané,Bayern Munich,7,5,12,13.0,7.6,5.4,25,2223
Ludovic Ajorque,Mainz 05,6,1,7,13.0,11.1,1.9,17,2223
Leandro Barreiro Martins,Mainz 05,4,3,7,13.0,7.4,5.6,31,2223
Simon Zoller,Bochum,3,2,5,12.5,7.5,5.0,27,2223
Takuma Asano,Bochum,3,2,5,12.5,7.5,5.0,25,2223
Kerem Demirbay,Bayer Leverkusen,4,3,7,12.3,7.0,5.3,25,2223
Florian Wirtz,Bayer Leverkusen,1,6,7,12.3,1.8,10.5,17,2223
Dejan Ljubicic,FC Cologne,5,1,6,12.2,10.2,2.0,27,2223
Youssoufa Moukoko,Borussia Dortmund,7,3,10,12.0,8.4,3.6,26,2223
Marco Reus,Borussia Dortmund,6,4,10,12.0,7.2,4.8,25,2223
Joshua Kimmich,Bayern Munich,5,6,11,12.0,5.4,6.5,33,2223
Jessic Ngankam,Hertha Berlin,4,1,5,11.9,9.5,2.4,18,2223
Dion Beljo,Augsburg,3,2,5,11.9,7.1,4.8,18,2223
Janik Haberer,Union Berlin,5,1,6,11.8,9.8,2.0,32,2223
Danilho Doekhi,Union Berlin,5,1,6,11.8,9.8,2.0,25,2223
Jens Stage,Werder Bremen,3,3,6,11.8,5.9,5.9,32,2223
Christopher Trimmel,Union Berlin,0,6,6,11.8,0.0,11.8,25,2223
André Silva,RasenBallsport Leipzig,4,3,7,10.9,6.2,4.7,31,2223
