Rank,Team,Elo,Matches
1,Barcelona,1812.64,205
2,Real Madrid,1802.13,205
3,Ath Madrid,1719.43,205
4,Villarreal,1691.47,204
5,Betis,1603.33,204
6,Ath Bilbao,1590.43,205
7,Vallecano,1511.01,166
8,Celta,1509.6,204
9,Espanol,1505.61,128
10,Sociedad,1502.57,204
11,Valencia,1501.16,204
12,Osasuna,1482.18,204
13,Getafe,1476.02,204
14,Mallorca,1465.02,166
15,Sevilla,1459.02,204
16,Alaves,1458.01,166
17,Girona,1446.66,128
18,Elche,1417.02,128
19,Levante,1411.68,90
20,Oviedo,1393.67,14
