Rank,Team,Elo,Matches
1,Paris SG,1832.1,196
2,Marseille,1686.72,196
3,Lille,1652.48,196
4,Lens,1651.55,196
5,Lyon,1630.83,196
6,Monaco,1623.01,196
7,Strasbourg,1591.63,196
8,Rennes,1583.35,196
9,Nice,1579.47,196
10,Brest,1542.24,196
11,Toulouse,1527.78,120
12,Paris FC,1473.23,14
13,Lorient,1451.72,162
14,Auxerre,1446.32,86
15,Le Havre,1435.11,82
16,Angers,1425.67,162
17,Nantes,1424.61,196
18,Metz,1393.71,124
