Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Marseille,7,2025-10-29,Angers,H,D,2,2,1,1.0,0.0,-3.0
Marseille,8,2025-11-01,Auxerre,A,W,0,1,3,0.0,3.0,0.0
Marseille,9,2025-11-08,Brest,H,W,3,0,3,3.0,0.0,0.0
Monaco,1,2025-08-16,Le Havre,H,W,3,1,3,3.0,0.0,0.0
Monaco,2,2025-08-24,Lille,A,L,1,0,0,0.0,0.0,0.0
Monaco,3,2025-08-31,Strasbourg,H,W,3,2,3,1.0,2.0,2.0
Monaco,4,2025-09-13,Auxerre,A,W,1,2,3,3.0,0.0,2.0
Monaco,5,2025-10-05,Nice,H,D,2,2,1,3.0,-2.0,0.0
Monaco,6,2025-10-18,Angers,A,D,1,1,1,3.0,-2.0,-2.0
Monaco,7,2025-10-25,Toulouse,H,W,1,0,3,3.0,0.0,-2.0
Monaco,8,2025-10-29,Nantes,A,W,3,5,3,1.0,2.0,0.0
Monaco,9,2025-11-08,Lens,H,L,1,4,0,1.0,-1.0,-1.0
Nantes,1,2025-08-17,Paris SG,H,L,0,1,0,1.0,-1.0,-1.0
Nantes,2,2025-08-24,Strasbourg,A,L,1,0,0,0.0,0.0,-1.0
Nantes,3,2025-08-30,Auxerre,H,W,1,0,3,3.0,0.0,-1.0
Nantes,4,2025-09-13,Nice,A,L,1,0,0,3.0,-3.0,-4.0
Nantes,5,2025-09-20,Rennes,H,D,2,2,1,3.0,-2.0,-6.0
Nantes,6,2025-09-27,Toulouse,A,D,2,2,1,1.0,0.0,-6.0
Nantes,7,2025-10-04,Brest,A,D,0,0,1,0.0,1.0,-5.0
Nantes,8,2025-10-19,Lille,H,L,0,2,0,3.0,-3.0,-8.0
Nantes,9,2025-10-29,Monaco,H,L,3,5,0,1.0,-1.0,-9.0
Nantes,10,2025-11-08,Le Havre,A,D,1,1,1,0.0,1.0,-8.0
Nice,1,2025-08-16,Toulouse,H,L,0,1,0,1.0,-1.0,-1.0
Nice,2,2025-08-23,Auxerre,H,W,3,1,3,1.0,2.0,1.0
Nice,3,2025-08-31,Le Havre,A,L,3,1,0,3.0,-3.0,-2.0
Nice,4,2025-09-13,Nantes,H,W,1,0,3,0.0,3.0,1.0
Nice,5,2025-09-20,Brest,A,L,4,1,0,3.0,-3.0,-2.0
Nice,6,2025-10-05,Monaco,A,D,2,2,1,0.0,1.0,-1.0
Nice,7,2025-10-18,Lyon,H,W,3,2,3,0.0,3.0,2.0
Nice,8,2025-10-26,Rennes,A,W,1,2,3,0.0,3.0,5.0
Nice,9,2025-10-29,Lille,H,W,2,0,3,1.0,2.0,7.0
Nice,10,2025-11-01,Paris SG,A,L,1,0,0,3.0,-3.0,4.0
Paris SG,1,2025-08-17,Nantes,A,W,0,1,3,1.0,2.0,2.0
Paris SG,2,2025-08-22,Angers,H,W,1,0,3,3.0,0.0,2.0
Paris SG,3,2025-08-30,Toulouse,A,W,3,6,3,3.0,0.0,2.0
Paris SG,4,2025-09-14,Lens,H,W,2,0,3,3.0,0.0,2.0
Paris SG,5,2025-09-22,Marseille,A,L,1,0,0,3.0,-3.0,-1.0
Paris SG,6,2025-09-27,Auxerre,H,W,2,0,3,3.0,0.0,-1.0
Paris SG,7,2025-10-05,Lille,A,D,1,1,1,3.0,-2.0,-3.0
Paris SG,8,2025-10-17,Strasbourg,H,D,3,3,1,3.0,-2.0,-5.0
Paris SG,9,2025-10-25,Brest,A,W,0,3,3,3.0,0.0,-5.0
Paris SG,10,2025-11-01,Nice,H,W,1,0,3,0.0,3.0,-2.0
Paris SG,11,2025-11-09,Lyon,A,W,2,3,3,3.0,0.0,-2.0
Rennes,1,2025-08-15,Marseille,H,W,1,0,3,0.0,3.0,3.0
Rennes,2,2025-08-31,Angers,A,D,1,1,1,3.0,-2.0,1.0
Rennes,3,2025-09-14,Lyon,H,W,3,1,3,3.0,0.0,1.0
Rennes,4,2025-09-20,Nantes,A,D,2,2,1,0.0,1.0,2.0
Rennes,5,2025-09-28,Lens,H,D,0,0,1,1.0,0.0,2.0
Rennes,6,2025-10-05,Le Havre,A,D,2,2,1,3.0,-2.0,0.0
Rennes,7,2025-10-19,Auxerre,H,D,2,2,1,0.0,1.0,1.0
Rennes,8,2025-10-26,Nice,H,L,1,2,0,3.0,-3.0,-2.0
Rennes,9,2025-10-29,Toulouse,A,D,2,2,1,0.0,1.0,-1.0
Rennes,10,2025-11-02,Strasbourg,H,W,4,1,3,3.0,0.0,-1.0
Strasbourg,1,2025-08-24,Nantes,H,W,1,0,3,3.0,0.0,0.0
Strasbourg,2,2025-08-31,Monaco,A,L,3,2,0,1.0,-1.0,-1.0
Strasbourg,3,2025-09-14,Le Havre,H,W,1,0,3,0.0,3.0,2.0
Strasbourg,4,2025-09-26,Marseille,H,L,1,2,0,3.0,-3.0,-1.0
Strasbourg,5,2025-10-05,Angers,H,W,5,0,3,1.0,2.0,1.0
Strasbourg,6,2025-10-17,Paris SG,A,D,3,3,1,0.0,1.0,2.0
Strasbourg,7,2025-10-26,Lyon,A,L,2,1,0,0.0,0.0,2.0
Strasbourg,8,2025-10-29,Auxerre,H,W,3,0,3,3.0,0.0,2.0
Strasbourg,9,2025-11-02,Rennes,A,L,4,1,0,0.0,0.0,2.0
Strasbourg,10,2025-11-09,Lille,H,W,2,0,3,3.0,0.0,2.0
Toulouse,1,2025-08-16,Nice,A,W,0,1,3,1.0,2.0,2.0
Toulouse,2,2025-08-24,Brest,H,W,2,0,3,0.0,3.0,5.0
Toulouse,3,2025-08-30,Paris SG,H,L,3,6,0,0.0,0.0,5.0
Toulouse,4,2025-09-14,Lille,A,L,2,1,0,0.0,0.0,5.0
Toulouse,5,2025-09-21,Auxerre,A,L,1,0,0,1.0,-1.0,4.0
Toulouse,6,2025-09-27,Nantes,H,D,2,2,1,1.0,0.0,4.0
Toulouse,7,2025-10-05,Lyon,A,W,1,2,3,1.0,2.0,6.0
Toulouse,8,2025-10-25,Monaco,A,L,1,0,0,0.0,0.0,6.0
Toulouse,9,2025-10-29,Rennes,H,D,2,2,1,3.0,-2.0,4.0
Toulouse,10,2025-11-02,Le Havre,H,D,0,0,1,3.0,-2.0,2.0
