Team,Match_Number,Date,Opponent,Venue,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Newcastle,5,2025-09-28,Arsenal,H,1,2,0,3.0,-3.0,-3.0
Newcastle,6,2025-10-05,Nott'm Forest,H,2,0,3,3.0,0.0,-3.0
Nott'm Forest,1,2025-08-17,Brentford,H,3,1,3,0.0,3.0,3.0
Nott'm Forest,2,2025-08-24,Crystal Palace,A,1,1,1,1.0,0.0,3.0
Nott'm Forest,3,2025-08-31,West Ham,H,0,3,0,3.0,-3.0,0.0
Nott'm Forest,4,2025-09-13,Arsenal,A,3,0,0,0.0,0.0,0.0
Nott'm Forest,5,2025-10-05,Newcastle,A,2,0,0,0.0,0.0,0.0
Tottenham,1,2025-08-23,Man City,A,0,2,3,3.0,0.0,0.0
Tottenham,2,2025-08-30,Bournemouth,H,0,1,0,1.0,-1.0,-1.0
Tottenham,3,2025-09-13,West Ham,A,0,3,3,1.0,2.0,1.0
Tottenham,4,2025-09-20,Brighton,A,2,2,1,0.0,1.0,2.0
Tottenham,5,2025-09-27,Wolves,H,1,1,1,1.0,0.0,2.0
West Ham,1,2025-08-22,Chelsea,H,1,5,0,0.0,0.0,0.0
West Ham,2,2025-08-31,Nott'm Forest,A,0,3,3,0.0,3.0,3.0
West Ham,3,2025-09-13,Tottenham,H,0,3,0,1.0,-1.0,2.0
West Ham,4,2025-09-20,Crystal Palace,H,1,2,0,0.0,0.0,2.0
West Ham,5,2025-09-29,Everton,A,1,1,1,1.0,0.0,2.0
West Ham,6,2025-10-04,Arsenal,A,2,0,0,3.0,-3.0,-1.0
Wolves,1,2025-08-16,Man City,H,0,4,0,0.0,0.0,0.0
Wolves,2,2025-08-23,Bournemouth,A,1,0,0,3.0,-3.0,-3.0
Wolves,3,2025-08-30,Everton,H,2,3,0,1.0,-1.0,-4.0
Wolves,4,2025-09-13,Newcastle,A,1,0,0,0.0,0.0,-4.0
Wolves,5,2025-09-27,Tottenham,A,1,1,1,1.0,0.0,-4.0
Wolves,6,2025-10-05,Brighton,H,1,1,1,0.0,1.0,-3.0
